,ts,geom_wkt,trace_number,device_id,geometry,prev_geom,prev_ts,distance_m,time_diff_s,speed_m_s,prev_speed,acceleration_m_s2,bearing,prev_bearing,bearing_change_deg,is_stop,stop_group,duration_sec,dist_last_1min_m,hour,minute,period_of_day
0,2009-06-29 07:02:25+00:00,POINT (116.590957 40.071961),2,0,POINT (116.590957 40.071961),,,0.0,,0.0,,0.0,,,0.0,True,1,0.0,0.0,7,2,Morning
1,2009-06-29 07:02:30+00:00,POINT (116.590905 40.072007),2,0,POINT (116.590905 40.072007),POINT (116.590957 40.071961),2009-06-29 07:02:25+00:00,6.76495423723616,5.0,1.352990847447232,0.0,0.2705981694894464,319.13858269897855,,0.0,False,0,0.0,6.76495423723616,7,2,Morning
2,2009-06-29 07:02:35+00:00,POINT (116.590879 40.072027),2,0,POINT (116.590879 40.072027),POINT (116.590905 40.072007),2009-06-29 07:02:30+00:00,3.1385834661663248,5.0,0.627716693233265,1.352990847447232,-0.14505483084279341,315.14917343059983,319.13858269897855,3.989409268378722,False,0,0.0,9.903537703402485,7,2,Morning
3,2009-06-29 07:02:40+00:00,POINT (116.590915 40.072004),2,0,POINT (116.590915 40.072004),POINT (116.590879 40.072027),2009-06-29 07:02:35+00:00,3.9940899493671442,5.0,0.7988179898734289,0.627716693233265,0.034220259328032784,129.85820373182673,315.14917343059983,185.2909696987731,False,0,0.0,13.897627652769629,7,2,Morning
4,2009-06-29 07:02:45+00:00,POINT (116.590961 40.071983),2,0,POINT (116.590961 40.071983),POINT (116.590915 40.072004),2009-06-29 07:02:40+00:00,4.564512837931586,5.0,0.9129025675863172,0.7988179898734289,0.022816915542577653,120.81928491596994,129.85820373182673,9.038918815856789,False,0,0.0,18.462140490701216,7,2,Morning
5,2009-06-29 07:02:50+00:00,POINT (116.591012 40.07196),2,0,POINT (116.591012 40.07196),POINT (116.590961 40.071983),2009-06-29 07:02:45+00:00,5.044698701174523,5.0,1.0089397402349047,0.9129025675863172,0.019207434529717515,120.5123054868493,120.81928491596994,0.3069794291206449,False,0,0.0,23.506839191875738,7,2,Morning
6,2009-06-29 07:02:55+00:00,POINT (116.590986 40.071984),2,0,POINT (116.590986 40.071984),POINT (116.591012 40.07196),2009-06-29 07:02:50+00:00,3.467076003014031,5.0,0.6934152006028061,1.0089397402349047,-0.06310490792641972,320.3410695720707,120.5123054868493,199.8287640852214,False,0,0.0,26.97391519488977,7,2,Morning
7,2009-06-29 07:03:00+00:00,POINT (116.590975 40.071993),2,0,POINT (116.590975 40.071993),POINT (116.590986 40.071984),2009-06-29 07:02:55+00:00,1.3708174922006164,5.0,0.2741634984401233,0.6934152006028061,-0.08385034043253657,316.9151198577219,320.3410695720707,3.4259497143488034,True,3,15.0,28.344732687090385,7,3,Morning
8,2009-06-29 07:03:05+00:00,POINT (116.590973 40.071995),2,0,POINT (116.590973 40.071995),POINT (116.590975 40.071993),2009-06-29 07:03:00+00:00,0.2800413395067369,5.0,0.05600826790134737,0.2741634984401233,-0.04363104610775518,322.5754773440134,316.9151198577219,5.6603574862915025,True,3,15.0,28.624774026597123,7,3,Morning
9,2009-06-29 07:03:10+00:00,POINT (116.590971 40.071996),2,0,POINT (116.590971 40.071996),POINT (116.590973 40.071995),2009-06-29 07:03:05+00:00,0.20355873715545156,5.0,0.04071174743109031,0.05600826790134737,-0.0030593040940514126,303.1603236475833,322.5754773440134,19.41515369643008,True,3,15.0,28.828332763752574,7,3,Morning
10,2009-06-29 07:03:13+00:00,POINT (116.590971 40.071996),2,0,POINT (116.590971 40.071996),POINT (116.590971 40.071996),2009-06-29 07:03:10+00:00,0.0,3.0,0.0,0.04071174743109031,-0.013570582477030102,0.0,303.1603236475833,303.1603236475833,True,3,15.0,28.828332763752574,7,3,Morning
11,2009-06-29 07:03:15+00:00,POINT (116.59097 40.071999),2,0,POINT (116.59097 40.071999),POINT (116.590971 40.071996),2009-06-29 07:03:13+00:00,0.3438571826574663,2.0,0.17192859132873314,0.0,0.08596429566436657,345.6902143226637,0.0,345.6902143226637,True,3,15.0,29.17218994641004,7,3,Morning
12,2009-06-29 07:03:20+00:00,POINT (116.590868 40.072105),2,0,POINT (116.590868 40.072105),POINT (116.59097 40.071999),2009-06-29 07:03:15+00:00,14.63681033285006,5.0,2.9273620665700117,0.17192859132873314,0.5510866950482558,323.63363634932625,345.6902143226637,22.056577973337426,False,0,0.0,43.8090002792601,7,3,Morning
13,2009-06-29 07:03:25+00:00,POINT (116.590686 40.072249),2,0,POINT (116.590686 40.072249),POINT (116.590868 40.072105),2009-06-29 07:03:20+00:00,22.286525725965458,5.0,4.457305145193091,2.9273620665700117,0.3059886157246159,315.9561502612886,323.63363634932625,7.677486088037654,False,0,0.0,66.09552600522557,7,3,Morning
14,2009-06-29 07:03:30+00:00,POINT (116.590569 40.072501),2,0,POINT (116.590569 40.072501),POINT (116.590686 40.072249),2009-06-29 07:03:25+00:00,29.707770127955904,5.0,5.941554025591181,4.457305145193091,0.29684977607961793,340.44061247489026,315.9561502612886,24.48446221360166,False,0,0.0,89.03834189594531,7,3,Morning
15,2009-06-29 07:03:35+00:00,POINT (116.590522 40.072815),2,0,POINT (116.590522 40.072815),POINT (116.590569 40.072501),2009-06-29 07:03:30+00:00,35.09507345825079,5.0,7.019014691650158,5.941554025591181,0.21549213321179544,353.46579815450764,340.44061247489026,13.02518567961738,False,0,0.0,120.99483188802976,7,3,Morning
16,2009-06-29 07:03:40+00:00,POINT (116.590499 40.073112),2,0,POINT (116.590499 40.073112),POINT (116.590522 40.072815),2009-06-29 07:03:35+00:00,33.036013225577435,5.0,6.607202645115487,7.019014691650158,-0.08236240930693413,356.6086331800975,353.46579815450764,3.142835025589875,False,0,0.0,150.03675516424005,7,3,Morning
17,2009-06-29 07:03:45+00:00,POINT (116.590477 40.073414),2,0,POINT (116.590477 40.073414),POINT (116.590499 40.073112),2009-06-29 07:03:40+00:00,33.585356443464995,5.0,6.717071288692999,6.607202645115487,0.02197372871550236,356.8093765847034,356.6086331800975,0.20074340460587337,False,0,0.0,179.05759876977348,7,3,Morning
18,2009-06-29 07:03:50+00:00,POINT (116.590427 40.073659),2,0,POINT (116.590427 40.073659),POINT (116.590477 40.073414),2009-06-29 07:03:45+00:00,27.536150663214947,5.0,5.50723013264299,6.717071288692999,-0.24196823121000186,351.1239932361129,356.8093765847034,5.685383348590506,False,0,0.0,201.5490507318139,7,3,Morning
19,2009-06-29 07:03:55+00:00,POINT (116.590385 40.073836),2,0,POINT (116.590385 40.073836),POINT (116.590427 40.073659),2009-06-29 07:03:50+00:00,19.977261589327284,5.0,3.995452317865457,5.50723013264299,-0.3023555629555066,349.708556013328,351.1239932361129,1.415437222784874,False,0,0.0,218.05923631812715,7,3,Morning
20,2009-06-29 07:04:00+00:00,POINT (116.590376 40.073902),2,0,POINT (116.590376 40.073902),POINT (116.590385 40.073836),2009-06-29 07:03:55+00:00,7.368482427668471,5.0,1.473696485533694,3.995452317865457,-0.5043511664663526,354.0428895928943,349.708556013328,4.334333579566305,False,0,0.0,224.05690125359502,7,4,Morning
21,2009-06-29 07:04:05+00:00,POINT (116.590377 40.073909),2,0,POINT (116.590377 40.073909),POINT (116.590376 40.073902),2009-06-29 07:04:00+00:00,0.781919200470116,5.0,0.1563838400940232,1.473696485533694,-0.26346252908793416,6.238595199394581,354.0428895928943,347.80429439349973,True,5,5.0,224.55877911455838,7,4,Morning
22,2009-06-29 07:04:08+00:00,POINT (116.590377 40.073909),2,0,POINT (116.590377 40.073909),POINT (116.590377 40.073909),2009-06-29 07:04:05+00:00,0.0,3.0,0.0,0.1563838400940232,-0.052127946698007736,0.0,6.238595199394581,6.238595199394581,True,5,5.0,224.55877911455838,7,4,Morning
23,2009-06-29 07:04:10+00:00,POINT (116.590375 40.073914),2,0,POINT (116.590375 40.073914),POINT (116.590377 40.073909),2009-06-29 07:04:08+00:00,0.5808017380545006,2.0,0.2904008690272503,0.0,0.14520043451362516,342.9813925844132,0.0,342.9813925844132,True,5,5.0,224.93602211545743,7,4,Morning
